timestamp, index, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/15 15:29:21.205, 0, 6977 MiB, 0 %, 161.41 W
2026/09/15 15:29:22.205, 0, 6977 MiB, 0 %, 169.44 W
2026/09/15 15:29:23.206, 0, 6981 MiB, 53 %, 184.54 W
2026/09/15 15:29:24.206, 0, 6981 MiB, 0 %, 124.97 W
2026/09/15 15:29:25.206, 0, 6985 MiB, 52 %, 195.35 W
2026/09/15 15:29:26.206, 0, 6985 MiB, 0 %, 176.38 W
2026/09/15 15:29:27.206, 0, 6979 MiB, 0 %, 148.69 W
2026/09/15 15:29:28.206, 0, 6989 MiB, 47 %, 118.86 W
2026/09/15 15:29:29.207, 0, 6989 MiB, 0 %, 106.39 W
2026/09/15 15:29:30.207, 0, 6995 MiB, 0 %, 119.51 W
